      Unnamed: 0                                                        product_name product_price      weight            category                EAN         date_added                                  uuid          removed product_code
0              0                         FurReal Dazzlin' Dimples My Playful Dolphin        £39.99       1.6kg      toys-and-games      7425710935115         2005-12-02  83dc0a69-f96f-4c34-bcb7-928acae19a94  Still_avaliable  R7-3126933h
1              1                                 Tiffany's World Day Out At The Park        £12.99      0.48kg      toys-and-games       487128731892         2006-01-09  712254d7-aea7-4310-aff8-8bcdd0aec7ff  Still_avaliable  C2-7287916l
2              2                                 Tiffany's World Pups Picnic Playset         £7.00        590g      toys-and-games      1945816904649         1997-03-29  b089ef6f-b628-4e37-811d-fffe0102ba64  Still_avaliable  S7-1175877v
3              3                            Tiffany's World Wildlife Park Adventures        £12.99        540g      toys-and-games      1569790890899         2013-03-20  d55de422-8b98-47d6-9991-e4bc4c5c0cb0          Removed  D8-8421505n
4              4                                             Cosatto Cosy Dolls Pram        £30.00      1.91kg      toys-and-games      7142740213920         2007-12-23  7945b657-cb02-4cc5-96cf-f65ed0a8f235  Still_avaliable  B6-2596063a
5              5                                        Cocomelon Magnetic Scribbler        £12.99      0.91kg      toys-and-games      9022505507373         2007-02-07  cdd568e3-9657-412b-b3a6-52f6adff966b  Still_avaliable  g3-7974400s
6              6                                             Peppa Pig House Felties         £7.00      0.46kg      toys-and-games      5997977455405         2009-01-24  58112753-a53f-4696-ab8a-7186c7e4a57e  Still_avaliable  U3-5148457q
7              7                                           Paw Patrol Walkie Talkies        £12.99      0.38kg      toys-and-games        58555395171         2013-08-13  797d133a-0989-4707-914d-7c043bcbbd86  Still_avaliable  q8-5387483Z
8              8                                         Peppa Pig 3D Walkie Talkies        £12.99      0.38kg      toys-and-games      9155372675699         2005-05-26  a6c23718-0e25-4419-8018-600c44e5e3df  Still_avaliable  i4-2651057I
9              9                                Disney Encanto Magical Casa Madrigal        £89.99     8.981kg      toys-and-games      2740880244498         2003-08-05  2e78e9a4-2b77-4b59-95e5-d60ee01ef183  Still_avaliable  b6-6234052g
10            10                                       Disney Encanto Mirabel's Room        £24.99     1.478kg      toys-and-games      9821316839389         2013-09-20  baa31d12-ad99-4442-b663-bd8a525c1c7a  Still_avaliable   g5-411324A
11            11                                Disney Encanto Isabela's Garden Room        £24.99        1.2g      toys-and-games      9644535434254         2019-08-14  e36989b3-7371-40ea-80b8-c23ba1a6869f  Still_avaliable  S6-3678717g
12            12                                 Disney Encanto Antonio's Tree House        £24.99        1.2g      toys-and-games      2421335285067         2019-04-13  d3ed56bc-533e-42fe-839a-ba880bda5714  Still_avaliable  Z2-0851042W
13            13                                              Tie-Dye Slime Mega Set        £12.99      0.66kg      toys-and-games      9526390929079         2014-05-20  44d36b71-477e-44f9-8dbc-e771a1bfbc11          Removed  t5-7763922W
14            14                                       Paw Patrol Magnetic Scribbler        £12.99      0.91kg      toys-and-games      7886193859037         2003-12-21  85610de0-f2b0-4613-9b51-343875197314  Still_avaliable  Z8-4148279f
15            15                                        Light Up Secret Hideout Tent        £22.00       1.8kg      toys-and-games      8231049510317         2019-02-17  1f692916-439d-41c4-a524-b51bf6088e1d  Still_avaliable  l4-0484985I
16            16                                          Light Up Army Hideout Tent        £22.00       1.9kg      toys-and-games      9963791896324         2007-02-13  41861b23-4675-4cd5-90b1-03a24afad922  Still_avaliable  P1-5362711n
17            17                                 Tiffany's World Fabulous Food Truck        £20.00     1.725kg      toys-and-games      5348126886814         1996-08-19  245a17fd-7e6c-43b2-9708-5bc87f51329c          Removed  v7-6917295v
18            18                    Treasure X Dino Gold Pterodactyl Dino Dissection        £16.99      0.54kg      toys-and-games      1156454414579         2003-11-12  8a6c33e3-0278-4e92-b434-6664d3db6d8b  Still_avaliable  D0-3518057L
19            19                                                    My Crawling Bear        £12.99     0.322kg      toys-and-games       159264905771         2000-04-19  c5189222-d270-44c5-8b9b-5598378c7dcc  Still_avaliable    w1-22434p
20            20                         FurReal Dazzlin' Dimples My Playful Dolphin        £39.99       1.6kg      toys-and-games      1155552934996         2021-04-10  e2a79a6c-16bb-4845-a12b-b5e00c64b419  Still_avaliable  W4-8185499V
21            21                                          Carnival Coin Push Machine        £12.99      0.71kg      toys-and-games      1202239854778         2007-05-16  cf76b3da-fb26-41b7-a155-af3681429fda  Still_avaliable  Y1-0776845n
22            22                                          Paw Patrol Casting Station        £12.99      0.88kg      toys-and-games      1091303301405         2003-08-28  e36ae4fd-5212-4bdb-9e85-ca4f907aa4eb  Still_avaliable  l7-1024003n
23            23                   Marvel Spidey & His Amazing Friends Super Pinball        £12.99      0.67kg      toys-and-games       400252313031         2021-11-08  e8925332-320f-44c3-9dc0-8853d9d4b5f9  Still_avaliable  w9-8766704u
